Images,LM1,LM2,LM3,LM4,LM5,LM6,LM7,LM8,LM9,LM10
154,8.29766,4.57569,7.65255,3.67845,6.52049,5.66785,5.07092,4.7222,4.80346,5.69781
155,3.99821,4.48552,4.77438,2.20792,4.03277,1.703,3.34726,0.56003,2.83053,1.97236
156,3.16035,2.28706,2.07616,1.39109,1.57508,0.76843,0.52711,0.70443,0.65903,0.51104
157,0.82803,4.92932,2.51396,4.77962,2.11611,3.21089,3.00454,1.36265,4.04425,0.62347
158,1.61099,2.13326,3.97453,1.07431,3.56185,3.07015,4.39325,2.6351,3.94763,3.22967
159,1.68051,2.46381,1.5263,2.59953,1.25729,20.72975,2.10125,0.40209,1.76034,1.97684
160,1.18589,2.08514,1.4472,0.3446,0.54272,0.02786,1.19313,2.063,3.07225,1.6999
161,2.73469,1.84674,3.53368,1.31933,4.35156,2.27332,1.09571,1.20133,1.29962,0.44631
162,3.1339,3.87838,3.63432,3.05206,2.32534,1.9869,1.55533,0.5904,5.97243,1.21431
163,1.19546,2.38849,3.71449,2.47698,2.5863,1.76195,2.42792,2.22019,1.42759,2.6893
164,2.1321,3.93685,1.32606,2.35456,0.62894,1.5154,0.97486,1.74617,2.52653,1.40494
165,1.34856,1.85655,1.97888,1.26283,1.30527,0.69022,0.35135,1.24779,0.65937,2.11767
166,2.35597,1.97524,1.8679,1.34977,1.19356,1.36538,0.71673,1.48868,0.27529,1.6336
167,3.82718,3.24829,3.82358,3.74912,3.39034,0.47664,1.44875,0.34978,1.69837,0.40069
168,1.07723,1.72503,0.4481,2.51921,1.48608,2.15892,0.67815,1.00092,1.30739,3.72419
169,2.86803,4.45985,5.09122,6.72217,3.60285,1.48529,4.45021,2.69776,1.2685,3.25183
170,3.74606,3.48563,2.15177,6.11406,1.21742,4.7719,1.20431,3.5448,0.99648,0.49764
171,1.87126,4.93051,4.57223,5.58917,2.79615,5.32001,4.24803,4.87086,5.2042,3.50921
172,2.84121,1.64036,3.94578,1.99265,4.74704,0.34485,2.07031,2.79759,1.71179,1.91441
173,1.03819,1.30694,1.65425,0.96311,5.57659,2.41572,1.28207,3.13551,4.30531,2.00944
174,4.50635,6.64967,2.64131,4.63896,0.83,4.88196,3.47715,3.53576,3.13154,3.69345
175,4.99462,4.10002,3.1231,3.75867,2.47428,3.15951,1.68101,2.53414,1.08981,0.19226
176,3.3705,1.65844,4.88355,1.08104,3.90208,3.55927,3.96872,3.83935,3.46378,4.10934
177,0.79086,1.44403,1.15271,1.5772,0.02953,1.62628,1.23275,2.76049,2.13213,0.21453
178,2.37926,2.21609,2.83783,2.81489,0.59716,1.48012,1.77165,1.65224,1.3785,0.43338
179,4.32246,3.83163,4.29797,2.56931,2.06041,1.79574,2.11024,0.8613,2.55117,1.33693
180,4.34262,1.65849,6.37251,2.12864,3.43705,2.9141,4.05213,2.74277,4.35136,3.11276
181,7.32303,6.6466,5.83607,5.75816,4.86404,3.40021,2.42397,3.55412,1.63005,0.86388
182,11.80949,9.86968,9.79896,9.41377,6.0149,9.96325,5.04087,6.94843,4.58337,6.9785
183,0.85583,2.13527,3.15829,3.62102,0.3315,1.35074,2.42033,1.46597,0.78302,3.33047
184,3.39105,3.61188,3.81907,4.54262,2.13444,4.04589,0.6842,2.55344,1.62863,1.56664
185,1.70525,1.30245,2.00652,1.86618,1.57901,0.36747,1.44375,0.31005,1.79765,2.18531
186,1.71887,1.97899,3.29245,2.98937,1.73459,1.6996,2.89153,2.19066,0.27833,1.04003
187,0.26785,0.99272,1.16028,0.66147,1.50322,1.67743,1.95232,2.06474,2.73567,1.42769
188,4.83293,1.78145,3.3114,2.38753,2.53124,0.83073,1.11322,0.95028,2.98737,2.07401
189,2.74243,1.62188,3.19175,2.79593,2.57895,1.8702,1.0814,1.07621,1.76649,1.66938
190,1.08906,3.12619,1.09062,4.54516,1.19272,0.33472,1.07634,1.03602,2.49643,1.87462
191,2.32428,1.61113,1.29548,1.21277,2.16976,1.59479,1.64123,0.95452,0.47607,0.7509
192,2.42709,1.48081,3.04462,0.8143,2.22668,0.78674,1.96187,2.21688,2.87404,1.96028
193,2.51318,2.0741,2.6313,3.35171,2.27548,4.03001,2.53758,2.38497,2.58111,1.08513
194,3.86408,2.84046,5.32238,5.28339,4.00246,3.90751,4.23256,1.80514,4.40115,3.42911
195,6.72323,2.43695,4.32124,1.08507,2.68155,3.16044,2.6966,2.3789,1.70863,3.75411
196,4.29962,2.82588,3.52198,0.88418,2.62834,4.50858,3.01481,4.0228,1.7531,3.54746
197,2.02563,2.64517,2.64115,2.24753,2.75775,1.407,1.50668,2.5544,1.81371,1.14222
198,2.86821,4.14146,3.15009,6.21515,3.02069,4.33575,2.28671,4.11457,1.82115,3.05313
199,5.48848,1.20418,3.49098,1.70242,4.91479,4.19872,4.07128,1.74216,6.47524,5.64237
200,5.12962,8.00374,3.11158,6.3016,1.91877,3.52906,1.2243,3.96254,3.21242,5.61704
201,4.66142,3.85779,2.54246,3.96543,2.51202,0.85264,0.54834,1.02427,2.60821,2.49181
202,0.23781,1.5121,0.54919,0.62402,1.72637,1.40646,0.96875,1.09223,2.38162,1.12347
203,3.60449,3.10188,3.49886,2.51467,2.51773,3.03351,2.1193,1.19518,4.0189,1.73408
204,5.21843,4.76231,7.99013,3.72593,7.29083,1.63077,6.26423,4.07527,7.8123,2.34743
205,6.38056,1.22984,5.17367,3.64943,2.36339,2.46044,1.14423,1.60203,0.67403,1.87183
206,9.69793,4.17694,8.75295,5.03996,8.96476,4.91499,8.25806,5.07012,5.89886,4.78242
207,8.45729,10.14966,9.98459,10.15961,7.15154,5.90074,3.08723,4.53102,0.82106,2.36911
208,2.92069,2.49864,3.64016,3.49649,4.56483,4.47262,3.60925,4.76712,5.71044,4.16447
209,2.49713,4.83845,2.31759,2.14959,5.40081,4.04649,4.5167,3.96862,5.76689,8.21811
210,5.4342,3.01797,3.2058,3.25449,4.387,1.59187,3.39429,2.19736,4.53247,1.04111
211,2.13075,1.36083,1.45653,0.99914,1.89848,3.01316,1.55774,3.06475,3.38074,3.75328
212,1.64859,4.83777,4.4731,4.9279,3.49508,5.12348,5.97065,4.82042,5.24366,4.89277
213,7.55795,8.70982,5.16976,7.3622,1.3104,5.60755,1.89405,5.68216,2.08945,6.22723
214,6.39377,2.94567,7.80373,6.71599,6.72667,4.62599,6.33382,5.58442,5.50316,4.59477
215,5.58911,1.89451,2.61138,1.85744,2.05743,0.09558,0.88518,0.68743,2.4788,0.60724
216,6.92074,8.24062,7.14989,5.93988,4.73701,9.9125,4.30196,4.90735,3.23815,3.231
217,12.07029,7.36598,11.05094,6.80629,10.42489,4.72745,8.59667,3.4247,8.12113,4.69697
218,2.62407,5.64419,2.2319,4.24033,1.44345,3.54721,1.83191,2.31211,1.12345,4.20757
219,4.13117,9.03895,3.92532,8.57137,3.3687,7.3164,5.40728,6.07928,5.87545,5.17305
220,1.45768,1.31556,2.807,0.72063,2.15347,1.50297,1.00765,1.13176,0.87238,1.67456
221,4.1104,4.56378,2.97112,5.1585,0.55551,4.91601,2.01694,2.88647,3.18838,3.14125
222,3.65431,5.05249,1.75292,3.30277,2.08312,1.87533,1.89837,1.76254,1.57694,1.92553
223,7.9818,4.03294,7.98893,5.43805,5.48444,3.80144,6.56238,4.81608,3.71049,5.2486
224,4.27897,1.56139,1.7104,0.91038,3.9821,1.31644,3.79027,3.24096,3.96006,2.31009
225,2.06109,3.3044,1.25016,3.73668,1.82157,3.5164,2.79352,2.82425,5.65894,4.83309
226,6.6303,6.96985,6.51739,9.00269,4.54569,5.49385,4.73706,6.33375,4.46097,3.01053
227,2.45927,0.74405,1.27285,1.30936,1.39793,1.45666,0.19213,0.56342,1.70423,2.92055
228,6.60332,1.41497,6.51483,4.50887,6.82268,4.57256,8.1166,6.36497,8.05966,5.98665
229,3.39707,3.63999,1.96353,2.52063,0.61025,1.77678,2.31631,2.83802,3.373,1.07605
230,8.19624,4.0005,7.65529,7.00467,4.03727,2.5445,4.92198,2.53436,3.85704,3.85889
231,6.61268,6.90282,7.21337,3.99829,5.90043,2.42583,3.8887,1.93996,2.65574,2.66576
232,1.81219,3.76853,2.23174,4.00885,2.4053,4.04714,0.49372,0.14017,3.73451,0.98189
233,2.61025,0.94422,0.57813,1.68642,1.90272,2.35664,0.96247,1.74729,0.39034,1.32911
234,2.37393,4.66191,3.91106,4.30901,4.69199,2.00798,2.60759,1.66631,2.33278,0.78191
235,1.66951,0.6459,2.56915,1.0798,2.56578,0.62313,1.33976,2.10187,1.89437,1.75395
236,3.45168,4.78005,0.95641,2.72062,1.43756,5.21293,3.09513,1.77436,2.40912,5.57333
